date,positiveIncrease
20200229,18
20200301,32
20200302,44
20200303,51
20200304,134
20200305,88
20200306,130
20200307,134
20200308,196
20200309,285
20200310,439
20200311,502
20200312,743
20200313,949
20200314,982
20200315,1188
20200316,1857
20200317,2249
20200318,3364
20200319,4700
20200320,6112
20200321,6816
20200322,9154
20200323,11435
20200324,10749
20200325,12891
20200326,17734
20200327,19244
20200328,19606
20200329,19444
20200330,21470
20200331,25184
20200401,26116
20200402,28045
20200403,31838
20200404,32885
20200405,25655
20200406,28409
20200407,30701
20200408,30917
20200409,35090
20200410,33489
20200411,31105
20200412,28001
20200413,24398
20200414,26078
20200415,29859
20200416,31577
20200417,31982
20200418,27826
20200419,27279
20200420,26105
20200421,26213
20200422,29136
20200423,31970
20200424,34274
20200425,35651
20200426,27058
20200427,22595
20200428,25372
20200429,26226
20200430,29971
20200501,32802
20200502,29034
20200503,25540
20200504,22501
20200505,22512
20200506,25143
20200507,27227
20200508,27159
20200509,25180
20200510,20890
20200511,18298
20200512,22558
20200513,21628
20200514,26713
20200515,25422
20200516,23586
20200517,20152
20200518,20844
20200519,20882
20200520,21259
20200521,26742
20200522,24173
20200523,22365
20200524,18860
20200525,18531
20200526,16978
20200527,19411
20200528,22659
20200529,23588
20200530,23437
20200531,21392
20200601,20362
20200602,20155
20200603,20155
20200604,20383
20200605,23066
20200606,22558
20200607,18818
20200608,17230
20200609,17151
20200610,20727
20200611,22071
20200612,23096
20200613,25245
20200614,21333
20200615,18654
20200616,23268
20200617,23906
20200618,27089
20200619,30959
20200620,31951
20200621,28848
20200622,27179
20200623,33885
20200624,39009
20200625,39681
20200626,44379
20200627,42893
20200628,41332
20200629,39765
20200630,47630
20200701,51001
20200702,53508
20200703,53688
20200704,54144
20200705,45167
20200706,41494
20200707,51742
20200708,62736
20200709,58959
20200710,66824
20200711,62324
20200712,60972
20200713,57603
20200714,62734
20200715,65618
20200716,70449
20200717,76218
20200718,64423
20200719,63715
20200720,56936
20200721,63625
20200722,69346
20200723,71225
20200724,74854
20200725,64376
20200726,60123
20200727,55014
20200728,58984
20200729,63941
20200730,68806
20200731,67530
20200801,60245
20200802,46510
20200803,49348
20200804,51815
20200805,52464
20200806,53803
20200807,60836
20200808,53084
20200809,50153
20200810,41743
20200811,55430
20200812,55894
20200813,51621
20200814,57093
20200815,55810
20200816,42322
20200817,37411
20200818,40492
20200819,44882
20200820,43723
20200821,46195
20200822,45722
20200823,37325
20200824,34249
20200825,36588
20200826,43627
20200827,43916
20200828,46126
20200829,43963
20200830,39285
20200831,31270
20200901,42421
20200902,30217
20200903,44621
20200904,51513
20200905,44744
20200906,32921
20200907,28144
20200908,22136
20200909,31173
20200910,37302
20200911,44684
20200912,41866
20200913,34311
20200914,33620
20200915,34905
20200916,40112
20200917,43289
20200918,47252
20200919,44905
20200920,35503
20200921,39139
20200922,49475
20200923,38620
20200924,43346
20200925,55189
20200926,47405
20200927,34986
20200928,35883
20200929,36441
20200930,44347
20201001,45605
20201002,49258
20201003,50934
20201004,37987
20201005,37757
20201006,38917
20201007,50591
20201008,55208
20201009,56802
20201010,57414
20201011,46268
20201012,42644
20201013,48594
20201014,56117
20201015,63394
20201016,68249
20201017,57328
20201018,48284
20201019,57109
20201020,60549
20201021,60958
20201022,72842
20201023,82333
20201024,83287
20201025,64893
20201026,62525
20201027,72083
20201028,78752
20201029,88723
20201030,97238
20201031,90585
20201101,73849
20201102,82047
20201103,86666
20201104,103305
20201105,116443
20201106,125758
20201107,129222
20201108,110290
20201109,119434
20201110,131187
20201111,144817
20201112,152012
20201113,172116
20201114,163538
20201115,144432
20201116,148873
20201117,156732
20201118,163972
20201119,182835
20201120,192800
20201121,179715
20201122,150841
20201123,150958
20201124,167014
20201125,183629
20201126,126335
20201127,193725
20201128,154522
20201129,135242
20201130,147587
20201201,176753
20201202,195796
20201203,210204
20201204,224831
20201205,211073
20201206,176771
